session_depth;demo.guru99.com%3D2%7C224278574%3D2;demo.guru99.com;/;Thu Aug 22 23:20:45 IST 2019;false
bfp_sn_pl;1566494437_509695230604;guru99.com;/;Thu Aug 22 23:20:45 IST 2019;false
bafp;29f43460-c501-11e9-9045-eb713692052d;demo.guru99.com;/;Tue Dec 31 05:30:00 IST 2030;false
_ga;GA1.2.176355797.1566494443;guru99.com;/;Sat Aug 21 22:50:45 IST 2021;false
_gat_gtag_UA_1248015_24;1;guru99.com;/;Thu Aug 22 22:51:42 IST 2019;false
bfp_sn_rf_8b2087b102c9e3e5ffed1c1478ed8b78;Direct;guru99.com;/;Tue Dec 31 05:30:00 IST 2030;false
Selenium;abc123;demo.guru99.com;/test/cookie;null;false
bfp_sn_rt_8b2087b102c9e3e5ffed1c1478ed8b78;1566494443598;guru99.com;/;Tue Dec 31 05:30:00 IST 2030;false
_gid;GA1.2.1434152750.1566494443;guru99.com;/;Fri Aug 23 22:50:45 IST 2019;false
